"k","p","test","n","generation-complexity","solution-complexity"
210,0.311933566961407,RaptorQ,210,0,0
262,0.493522228437253,RaptorQ,262,0,0
210,0.311933566961407,LTCode,215,145101,2339825
290,0.464689000260406,RaptorQ,290,0,0
210,0.311933566961407,SpecialLTCode,210,176820,4791164
268,0.397305165136841,RaptorQ,268,0,0
262,0.493522228437253,LTCode,263,218776,3936034
210,0.311933566961407,RandomSubset,210,154748,4830653
290,0.464689000260406,LTCode,293,268416,4951717
262,0.493522228437253,SpecialLTCode,263,276150,9271284
268,0.397305165136841,LTCode,278,237546,4559338
290,0.464689000260406,SpecialLTCode,292,339304,12616603
268,0.397305165136841,SpecialLTCode,270,290520,9945787
262,0.493522228437253,RandomSubset,265,243323,9337577
290,0.464689000260406,RandomSubset,291,295673,12597132
268,0.397305165136841,RandomSubset,270,253556,9931728
210,0.311933566961407,Carousel,951,402273,1029802
210,0.311933566961407,SophisticatedCarousel,283,180027,534435
210,0.311933566961407,ReedSolomon,-1,0,0
268,0.397305165136841,Carousel,848,457072,1179777
262,0.493522228437253,Carousel,865,455855,1173780
262,0.493522228437253,SophisticatedCarousel,287,230675,1226242
262,0.493522228437253,ReedSolomon,-1,0,0
268,0.397305165136841,SophisticatedCarousel,562,454094,944231
268,0.397305165136841,ReedSolomon,-1,0,0
290,0.464689000260406,Carousel,1148,669284,1718478
303,0.0187491816555845,RaptorQ,303,0,0
303,0.0187491816555845,LTCode,305,291739,5594568
232,0.662260941072489,RaptorQ,232,0,0
221,0.190380270681521,RaptorQ,221,0,0
232,0.662260941072489,LTCode,238,176558,2873090
221,0.190380270681521,LTCode,223,156232,2242598
232,0.662260941072489,SpecialLTCode,232,216224,6462494
221,0.190380270681521,SpecialLTCode,222,196914,5606155
290,0.464689000260406,SophisticatedCarousel,343,304603,1739176
290,0.464689000260406,ReedSolomon,-1,0,0
232,0.662260941072489,RandomSubset,235,191147,6515850
303,0.0187491816555845,SpecialLTCode,308,373604,14416017
221,0.190380270681521,RandomSubset,225,174492,5734300
303,0.0187491816555845,RandomSubset,304,322925,14342757
232,0.662260941072489,Carousel,904,422168,1089383
221,0.190380270681521,Carousel,537,238965,628657
270,0.24425019474898,RaptorQ,270,0,0
232,0.662260941072489,SophisticatedCarousel,246,174103,983445
232,0.662260941072489,ReedSolomon,-1,0,0
270,0.24425019474898,LTCode,272,233820,4840421
270,0.24425019474898,SpecialLTCode,270,292140,10120527
221,0.190380270681521,SophisticatedCarousel,323,219229,1079561
221,0.190380270681521,ReedSolomon,-1,0,0
270,0.24425019474898,RandomSubset,271,256714,10189578
227,0.54230588187571,RaptorQ,227,0,0
303,0.0187491816555845,Carousel,586,356874,953077
227,0.54230588187571,LTCode,229,165582,2659348
303,0.0187491816555845,SophisticatedCarousel,332,302925,592772
303,0.0187491816555845,ReedSolomon,-1,0,0
214,0.216840313382838,RaptorQ,214,0,0
227,0.54230588187571,SpecialLTCode,228,207252,6095802
227,0.54230588187571,RandomSubset,227,180810,6008732
214,0.216840313382838,LTCode,219,149671,2589973
214,0.216840313382838,SpecialLTCode,214,183612,5126307
203,0.660159224020391,RaptorQ,203,0,0
203,0.660159224020391,LTCode,206,133148,1863196
214,0.216840313382838,RandomSubset,219,164474,5186863
203,0.660159224020391,SpecialLTCode,203,165039,4343536
203,0.660159224020391,RandomSubset,203,144536,4343157
227,0.54230588187571,Carousel,945,431865,1107905
227,0.54230588187571,SophisticatedCarousel,249,171289,706350
227,0.54230588187571,ReedSolomon,-1,0,0
214,0.216840313382838,Carousel,841,362471,936414
270,0.24425019474898,Carousel,738,400734,1043254
214,0.216840313382838,SophisticatedCarousel,298,192808,493788
214,0.216840313382838,ReedSolomon,-1,0,0
79,0.133116037646828,RaptorQ,79,0,0
148,0.735862565103854,RaptorQ,148,0,0
148,0.735862565103854,LTCode,152,74100,982025
179,0.626115150109918,RaptorQ,179,0,0
79,0.133116037646828,LTCode,81,22487,185276
148,0.735862565103854,SpecialLTCode,149,88804,1714250
79,0.133116037646828,SpecialLTCode,79,25043,273766
179,0.626115150109918,LTCode,181,104620,1488938
79,0.133116037646828,RandomSubset,80,22287,274639
79,0.133116037646828,Carousel,139,22379,57838
148,0.735862565103854,RandomSubset,148,76955,1730171
79,0.133116037646828,SophisticatedCarousel,125,30054,58589
179,0.626115150109918,SpecialLTCode,183,131211,3057309
260,0.575165697641282,RaptorQ,260,0,0
79,0.133116037646828,ReedSolomon,79,0,0
260,0.575165697641282,LTCode,261,216936,3446443
179,0.626115150109918,RandomSubset,180,113178,3027438
260,0.575165697641282,SpecialLTCode,260,271440,9163447
163,0.795476843507717,RaptorQ,163,0,0
163,0.795476843507717,LTCode,164,88350,1339277
148,0.735862565103854,Carousel,666,199134,513922
163,0.795476843507717,SpecialLTCode,163,106439,2250746
260,0.575165697641282,RandomSubset,261,237917,9103400
163,0.795476843507717,RandomSubset,165,94520,2313712
148,0.735862565103854,SophisticatedCarousel,296,133039,341746
148,0.735862565103854,ReedSolomon,-1,0,0
200,0.0949531272495878,RaptorQ,200,0,0
200,0.0949531272495878,LTCode,201,130209,2185957
200,0.0949531272495878,SpecialLTCode,201,161604,4175571
200,0.0949531272495878,RandomSubset,200,140357,4185415
163,0.795476843507717,Carousel,798,262542,675483
163,0.795476843507717,SophisticatedCarousel,167,86273,1323741
163,0.795476843507717,ReedSolomon,-1,0,0
200,0.0949531272495878,Carousel,506,203918,532537
200,0.0949531272495878,SophisticatedCarousel,284,171786,410187
287,0.378070436128448,RaptorQ,287,0,0
287,0.378070436128448,LTCode,287,261435,4823754
179,0.626115150109918,Carousel,1258,454138,1158109
287,0.378070436128448,SpecialLTCode,287,329763,12168543
200,0.0949531272495878,ReedSolomon,200,0,0
179,0.626115150109918,SophisticatedCarousel,188,104417,775686
179,0.626115150109918,ReedSolomon,-1,0,0
87,0.630906770765272,RaptorQ,87,0,0
87,0.630906770765272,LTCode,89,25909,237691
87,0.630906770765272,SpecialLTCode,89,31061,371468
87,0.630906770765272,RandomSubset,87,26636,361415
287,0.378070436128448,RandomSubset,290,291853,12267077
271,0.444171829821622,RaptorQ,271,0,0
260,0.575165697641282,Carousel,1203,629169,1619054
271,0.444171829821622,LTCode,275,236431,4642697
271,0.444171829821622,SpecialLTCode,272,295120,10226911
87,0.630906770765272,Carousel,683,120891,308888
271,0.444171829821622,RandomSubset,272,258746,10234778
87,0.630906770765272,SophisticatedCarousel,139,36884,84776
260,0.575165697641282,SophisticatedCarousel,304,241997,1561881
260,0.575165697641282,ReedSolomon,-1,0,0
87,0.630906770765272,ReedSolomon,87,0,0
40,0.520885117594565,RaptorQ,40,0,0
40,0.520885117594565,LTCode,40,5816,31862
40,0.520885117594565,SpecialLTCode,40,6560,39393
40,0.520885117594565,RandomSubset,43,6133,41870
40,0.520885117594565,Carousel,135,11205,29007
40,0.520885117594565,SophisticatedCarousel,45,5844,21778
40,0.520885117594565,ReedSolomon,40,0,0
113,0.508641990138517,RaptorQ,113,0,0
113,0.508641990138517,LTCode,115,43545,554459
113,0.508641990138517,SpecialLTCode,114,51870,782711
113,0.508641990138517,RandomSubset,113,44971,766531
77,0.957235680407489,RaptorQ,77,0,0
77,0.957235680407489,LTCode,78,21200,185657
113,0.508641990138517,Carousel,447,102363,264189
77,0.957235680407489,SpecialLTCode,79,24569,257708
77,0.957235680407489,RandomSubset,78,21204,258041
77,0.957235680407489,Carousel,261,40977,107650
113,0.508641990138517,SophisticatedCarousel,225,77240,168505
77,0.957235680407489,SophisticatedCarousel,77,20231,224623
77,0.957235680407489,ReedSolomon,-1,0,0
113,0.508641990138517,ReedSolomon,113,0,0
271,0.444171829821622,Carousel,961,523745,1349823
49,0.112945562746816,RaptorQ,49,0,0
49,0.112945562746816,LTCode,51,9212,61378
49,0.112945562746816,SpecialLTCode,53,10547,76418
49,0.112945562746816,RandomSubset,49,8468,68406
49,0.112945562746816,Carousel,75,7575,20254
49,0.112945562746816,SophisticatedCarousel,70,10531,20584
49,0.112945562746816,ReedSolomon,49,0,0
5,0.414093523944772,RaptorQ,5,0,0
5,0.414093523944772,LTCode,16,374,648
5,0.414093523944772,SpecialLTCode,9,207,418
5,0.414093523944772,RandomSubset,5,99,235
5,0.414093523944772,Carousel,7,91,254
5,0.414093523944772,SophisticatedCarousel,9,174,406
5,0.414093523944772,ReedSolomon,5,0,0
69,0.566168972089034,RaptorQ,69,0,0
69,0.566168972089034,LTCode,71,17253,139136
69,0.566168972089034,SpecialLTCode,69,19251,182261
69,0.566168972089034,RandomSubset,80,19427,213684
69,0.566168972089034,Carousel,281,39621,102307
69,0.566168972089034,SophisticatedCarousel,72,15675,63571
69,0.566168972089034,ReedSolomon,69,0,0
287,0.378070436128448,Carousel,1059,611043,1579915
128,0.396515841314809,RaptorQ,128,0,0
128,0.396515841314809,LTCode,130,54748,581565
271,0.444171829821622,SophisticatedCarousel,536,438012,934844
271,0.444171829821622,ReedSolomon,-1,0,0
220,0.83442032562309,RaptorQ,220,0,0
128,0.396515841314809,SpecialLTCode,131,67596,1128520
128,0.396515841314809,RandomSubset,128,57567,1116233
220,0.83442032562309,LTCode,220,154970,2832905
125,0.893616599446915,RaptorQ,126,0,0
128,0.396515841314809,Carousel,472,122248,314764
125,0.893616599446915,LTCode,128,52544,605594
128,0.396515841314809,SophisticatedCarousel,155,60319,156126
125,0.893616599446915,SpecialLTCode,128,64384,1081588
125,0.893616599446915,RandomSubset,125,54965,1043908
125,0.893616599446915,Carousel,402,101706,264031
220,0.83442032562309,SpecialLTCode,222,196248,5570285
128,0.396515841314809,ReedSolomon,128,0,0
79,0.297747970231691,RaptorQ,79,0,0
79,0.297747970231691,LTCode,80,21864,196481
79,0.297747970231691,SpecialLTCode,82,25994,278640
79,0.297747970231691,RandomSubset,80,22247,282864
79,0.297747970231691,Carousel,201,32361,84264
79,0.297747970231691,SophisticatedCarousel,123,29589,58301
125,0.893616599446915,SophisticatedCarousel,127,53698,896517
220,0.83442032562309,RandomSubset,222,171394,5578535
125,0.893616599446915,ReedSolomon,-1,0,0
79,0.297747970231691,ReedSolomon,79,0,0
155,0.217549324136949,RaptorQ,155,0,0
155,0.217549324136949,LTCode,155,77568,911664
155,0.217549324136949,SpecialLTCode,157,97497,1983881
155,0.217549324136949,RandomSubset,155,84374,1955010
294,0.235929361654413,RaptorQ,294,0,0
155,0.217549324136949,Carousel,492,153996,400836
294,0.235929361654413,LTCode,298,275810,5081933
294,0.235929361654413,SpecialLTCode,294,346332,13047802
155,0.217549324136949,SophisticatedCarousel,224,111119,878989
287,0.378070436128448,SophisticatedCarousel,744,643888,1412646
287,0.378070436128448,ReedSolomon,-1,0,0
294,0.235929361654413,RandomSubset,298,307052,13336364
155,0.217549324136949,ReedSolomon,155,0,0
99,0.7115916790029,RaptorQ,99,0,0
99,0.7115916790029,LTCode,99,32791,329109
99,0.7115916790029,SpecialLTCode,99,39303,531915
195,0.563291995582772,RaptorQ,195,0,0
99,0.7115916790029,RandomSubset,100,34853,525704
195,0.563291995582772,LTCode,196,124536,1971312
99,0.7115916790029,Carousel,313,62913,164189
99,0.7115916790029,SophisticatedCarousel,102,31603,221912
99,0.7115916790029,ReedSolomon,-1,0,0
195,0.563291995582772,SpecialLTCode,197,153857,3881970
75,0.985935439814783,RaptorQ,75,0,0
75,0.985935439814783,LTCode,77,19975,163347
195,0.563291995582772,RandomSubset,196,134098,3859032
75,0.985935439814783,SpecialLTCode,76,22876,232262
220,0.83442032562309,Carousel,1148,508564,1305491
75,0.985935439814783,RandomSubset,80,21225,254051
75,0.985935439814783,Carousel,410,62730,161399
220,0.83442032562309,SophisticatedCarousel,221,153825,3131368
220,0.83442032562309,ReedSolomon,-1,0,0
195,0.563291995582772,Carousel,764,300252,773725
195,0.563291995582772,SophisticatedCarousel,257,151908,541396
195,0.563291995582772,ReedSolomon,-1,0,0
176,0.842861304917774,RaptorQ,176,0,0
176,0.842861304917774,LTCode,177,101385,1484178
176,0.842861304917774,SpecialLTCode,177,125316,2857138
176,0.842861304917774,RandomSubset,177,109342,2867422
220,0.136926518816932,RaptorQ,220,0,0
294,0.235929361654413,Carousel,844,498804,1297795
75,0.985935439814783,SophisticatedCarousel,83,21853,261243
75,0.985935439814783,ReedSolomon,-1,0,0
220,0.136926518816932,LTCode,222,156204,2363682
80,0.371878491422105,RaptorQ,80,0,0
80,0.371878491422105,LTCode,86,23934,213071
80,0.371878491422105,SpecialLTCode,82,26568,286759
80,0.371878491422105,RandomSubset,81,22874,284386
80,0.371878491422105,Carousel,202,32926,86037
80,0.371878491422105,SophisticatedCarousel,102,25377,95433
80,0.371878491422105,ReedSolomon,80,0,0
59,0.11230367287635,RaptorQ,59,0,0
59,0.11230367287635,LTCode,59,12302,82193
59,0.11230367287635,SpecialLTCode,60,14220,118859
59,0.11230367287635,RandomSubset,59,12291,115894
59,0.11230367287635,Carousel,172,20812,54428
59,0.11230367287635,SophisticatedCarousel,74,13547,35602
59,0.11230367287635,ReedSolomon,59,0,0
220,0.136926518816932,SpecialLTCode,226,199784,5691436
220,0.136926518816932,RandomSubset,220,169730,5547537
136,0.78500776727917,RaptorQ,136,0,0
136,0.78500776727917,LTCode,137,62085,834383
136,0.78500776727917,SpecialLTCode,136,74528,1338897
136,0.78500776727917,RandomSubset,137,65480,1336424
294,0.235929361654413,SophisticatedCarousel,611,541199,1088495
294,0.235929361654413,ReedSolomon,-1,0,0
110,0.330743124396886,RaptorQ,110,0,0
110,0.330743124396886,LTCode,112,40236,312599
110,0.330743124396886,SpecialLTCode,112,49504,735386
110,0.330743124396886,RandomSubset,110,42609,720710
136,0.78500776727917,Carousel,681,187275,482394
110,0.330743124396886,Carousel,367,81841,212152
110,0.330743124396886,SophisticatedCarousel,138,46887,151541
136,0.78500776727917,SophisticatedCarousel,139,63069,885203
136,0.78500776727917,ReedSolomon,-1,0,0
62,0.598851672186913,RaptorQ,62,0,0
62,0.598851672186913,LTCode,62,13488,98785
62,0.598851672186913,SpecialLTCode,62,15500,135179
62,0.598851672186913,RandomSubset,63,13802,136162
62,0.598851672186913,Carousel,212,26924,69975
220,0.136926518816932,Carousel,552,244536,642194
62,0.598851672186913,SophisticatedCarousel,71,14592,79837
62,0.598851672186913,ReedSolomon,62,0,0
110,0.330743124396886,ReedSolomon,110,0,0
220,0.136926518816932,SophisticatedCarousel,308,204949,534322
220,0.136926518816932,ReedSolomon,-1,0,0
132,0.960586052835261,RaptorQ,132,0,0
132,0.960586052835261,LTCode,134,58530,641192
245,0.0330084161986636,RaptorQ,245,0,0
176,0.842861304917774,Carousel,1293,459015,1172572
132,0.960586052835261,SpecialLTCode,138,73416,1280249
276,0.934658574841292,RaptorQ,276,0,0
245,0.0330084161986636,LTCode,249,195036,3650436
245,0.0330084161986636,SpecialLTCode,245,240835,7557650
276,0.934658574841292,LTCode,277,245222,5233029
132,0.960586052835261,RandomSubset,138,64115,1276846
245,0.0330084161986636,RandomSubset,246,211638,7627975
176,0.842861304917774,SophisticatedCarousel,189,105817,1532794
176,0.842861304917774,ReedSolomon,-1,0,0
132,0.960586052835261,Carousel,656,175152,451640
245,0.0330084161986636,Carousel,417,205581,554218
101,0.134962153218203,RaptorQ,101,0,0
101,0.134962153218203,LTCode,104,35144,306455
276,0.934658574841292,SpecialLTCode,277,306916,10832334
